,level_0,index, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
101,103,717,701,C2-Adipocites (2).tif,13661,2396.356,2427.956,2022.619,2306,2347,166,162,147.088,118.25399999999999,115.10600000000001,194.61,255,100,2312,2348,137.291,149.253,0.508
102,104,718,670,C2-Adipocites (2).tif,11951,2579.295,2286.256,1073.5430000000001,2481,2219,215,130,183.851,82.765,168.796,225.497,255,100,2481,2258,162.44899999999998,122.339,0.4276
103,105,719,126,C2-Adipocites (2).tif,13764,3548.6929999999998,683.007,1192.129,3477,599,135,160,149.829,116.96600000000001,131.589,170.03799999999998,255,100,3516,604,122.755,134.155,0.6372
104,106,720,82,C2-Adipocites (2).tif,13696,1465.652,480.14099999999996,918.933,1400,396,136,161,156.048,111.749,71.645,171.09400000000002,255,100,1423,553,66.582,123.15899999999999,0.6255
105,107,721,371,C2-Adipocites (2).tif,13719,3977.935,1375.767,1166.171,3913,1295,139,160,155.6,112.259,67.881,167.765,255,100,3933,1448,47.657,129.761,0.6169
106,108,722,549,C2-Adipocites (2).tif,13210,1700.0279999999998,1890.53,1414.7220000000002,1605,1829,190,119,171.56799999999998,98.03399999999999,3.037,193.83,255,100,1605,1922,12.817,115.37700000000001,0.5843
107,109,723,446,C2-Adipocites (2).tif,14132,3180.7009999999996,1598.92,990.5310000000001,3104,1521,154,151,149.128,120.65799999999999,138.273,169.77900000000002,255,100,3120,1548,140.497,131.47799999999998,0.6077
108,110,724,630,C2-Adipocites (2).tif,14430,2441.12,2148.176,1354.521,2355,2068,150,165,148.345,123.852,117.883,167.547,255,100,2400,2079,113.199,148.234,0.583
109,111,725,438,C2-Adipocites (2).tif,13476,3010.495,1563.004,856.7489999999999,2926,1492,165,142,174.78400000000002,98.16799999999999,147.195,179.49400000000003,255,100,2929,1524,151.007,111.911,0.5752
110,112,726,524,C2-Adipocites (2).tif,14574,3481.98,1837.391,874.063,3398,1754,164,154,153.252,121.083,37.817,180.854,255,100,3399,1899,32.811,137.011,0.5771
111,113,727,752,C2-Adipocites (2).tif,14763,2571.324,2736.9790000000003,1322.479,2494,2659,155,163,143.261,131.207,97.512,172.699,255,100,2505,2662,112.109,153.375,0.5843
112,114,728,54,C2-Adipocites (2).tif,13749,3648.889,351.68199999999996,1339.994,3579,268,147,170,175.155,99.945,56.192,190.205,255,100,3588,431,53.552,123.04700000000001,0.5502
113,115,729,537,C2-Adipocites (2).tif,14801,3647.739,1857.0479999999998,1121.786,3573,1786,157,142,147.888,127.429,5.216,160.365,255,100,3577,1890,19.678,140.484,0.6639
114,116,730,92,C2-Adipocites (2).tif,14330,3641.0820000000003,533.898,1132.07,3579,447,133,182,168.47099999999998,108.301,73.377,185.335,255,100,3635,629,79.11399999999999,122.134,0.592
115,117,731,47,C2-Adipocites (2).tif,14275,2184.311,291.663,1351.835,2092,228,198,144,172.201,105.54799999999999,173.23,201.07,255,100,2092,277,169.976,133.703,0.5007
116,118,732,423,C2-Adipocites (2).tif,14936,2823.877,1520.734,891.1339999999999,2736,1455,173,135,156.278,121.68700000000001,175.34900000000002,174.347,255,100,2737,1506,168.755,133.69,0.6395
117,119,733,483,C2-Adipocites (2).tif,15317,3079.4790000000003,1727.3670000000002,1299.367,3007,1637,150,169,147.558,132.167,70.607,182.472,255,100,3026,1801,63.997,142.55,0.6042
118,120,734,350,C2-Adipocites (2).tif,15159,3343.414,1324.251,1181.568,3269,1244,157,159,157.262,122.73100000000001,56.058,177.882,255,100,3278,1392,51.39,137.761,0.6073
119,121,735,437,C2-Adipocites (2).tif,15308,3891.92,1569.615,1089.1589999999999,3818,1491,143,152,151.893,128.319,49.765,174.155,255,100,3840,1634,47.793,142.41,0.7043
120,122,736,142,C2-Adipocites (2).tif,14989,1374.942,771.1139999999999,1361.509,1315,677,136,181,168.65,113.161,93.251,181.915,255,100,1345,854,76.65100000000001,135.609,0.6089
121,123,737,408,C2-Adipocites (2).tif,15324,1375.378,1478.245,1036.129,1295,1399,157,163,166.023,117.521,54.445,178.519,255,100,1348,1562,65.158,132.362,0.5988
122,124,738,765,C2-Adipocites (2).tif,15902,1077.495,2797.5679999999998,964.3889999999999,994,2712,155,166,147.333,137.424,102.50399999999999,167.487,255,100,1070,2876,78.288,141.874,0.618
123,125,739,206,C2-Adipocites (2).tif,15883,2863.413,933.38,1955.121,2777,840,169,188,152.81,132.34,121.171,190.90599999999998,255,100,2864,840,103.01700000000001,157.055,0.4999
