 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret
6548,untitled3_green_thresh.tif:Green,1.599,18.080,16.126,10.382,17.500,15.010,1.073,2.219,2.056,0.990,86.209,2.229,0,1733,1654,84.636,1.068
6549,untitled3_green_thresh.tif:Green,1.602,6.232,11.651,10.083,5.406,10.865,1.656,1.771,1.532,1.332,72.372,1.849,0,559,1043,106.699,1.567
6550,untitled3_green_thresh.tif:Green,1.614,37.989,19.335,6.613,37.219,18.604,1.625,1.458,1.538,1.336,7.766,1.661,0,3573,1879,11.944,1.433
6551,untitled3_green_thresh.tif:Green,1.643,14.328,15.400,8.272,13.490,14.583,1.625,1.656,1.734,1.206,53.576,1.849,0,1327,1550,56.489,1.363
6552,untitled3_green_thresh.tif:Green,1.655,14.332,23.425,7.318,13.323,22.719,1.875,1.490,1.785,1.181,20.206,1.962,0,1291,2304,32.425,1.232
6553,untitled3_green_thresh.tif:Green,1.655,13.973,6.029,8.471,13.156,5.135,1.500,1.812,1.649,1.278,69.301,1.814,0,1344,493,92.632,1.373
6554,untitled3_green_thresh.tif:Green,1.659,32.082,18.006,10.329,31.333,17.031,1.531,1.781,1.534,1.377,76.336,1.806,0,3069,1805,78.690,1.465
6555,untitled3_green_thresh.tif:Green,1.687,11.216,29.155,6.445,10.344,28.365,1.594,1.615,1.514,1.419,120.688,1.667,0,993,2779,160.659,1.433
6556,untitled3_green_thresh.tif:Green,1.689,36.517,8.733,10.573,35.760,7.833,1.500,1.802,1.762,1.220,84.035,1.882,0,3483,752,106.730,1.349
6557,untitled3_green_thresh.tif:Green,1.700,34.828,13.802,8.575,34.062,12.938,1.625,1.677,1.667,1.298,55.688,1.846,0,3278,1392,51.643,1.436
6558,untitled3_green_thresh.tif:Green,1.708,40.535,16.341,7.349,39.771,15.479,1.479,1.635,1.663,1.308,49.415,1.829,0,3837,1632,47.770,1.393
6559,untitled3_green_thresh.tif:Green,1.718,26.765,28.482,10.459,25.979,27.521,1.552,1.875,1.631,1.341,102.799,1.925,0,2525,2642,104.412,1.525
6560,untitled3_green_thresh.tif:Green,1.719,36.466,20.552,9.401,35.510,19.854,1.885,1.417,1.779,1.230,11.232,1.951,0,3409,1982,14.853,1.395
6561,untitled3_green_thresh.tif:Green,1.721,22.832,6.657,8.392,21.823,6.042,2.042,1.333,1.885,1.162,173.274,2.048,0,2095,636,175.333,1.255
6562,untitled3_green_thresh.tif:Green,1.732,35.123,6.130,9.311,34.312,5.375,1.760,1.406,1.673,1.318,169.463,1.871,0,3300,542,150.295,1.368
6563,untitled3_green_thresh.tif:Green,1.788,29.839,9.713,10.599,28.927,8.885,1.708,1.792,1.600,1.423,139.458,1.906,0,2845,854,110.813,1.567
6564,untitled3_green_thresh.tif:Green,1.803,28.919,18.574,10.677,27.948,17.552,1.865,1.823,1.963,1.169,148.875,2.233,0,2711,1685,130.079,1.389
6565,untitled3_green_thresh.tif:Green,1.871,15.300,6.873,9.649,14.562,5.938,1.635,1.969,1.818,1.310,110.878,1.985,0,1445,571,99.363,1.361
6566,untitled3_green_thresh.tif:Green,1.887,28.957,10.949,9.710,28.135,10.094,1.802,1.719,1.654,1.453,141.212,1.838,0,2706,1009,162.181,1.552
6567,untitled3_green_thresh.tif:Green,1.890,35.253,15.557,7.766,34.562,14.604,1.396,1.823,1.747,1.377,97.624,1.863,0,3358,1577,78.062,1.389
6568,untitled3_green_thresh.tif:Green,1.906,30.842,19.174,8.758,29.969,18.333,1.729,1.688,1.716,1.414,146.323,1.918,0,2889,1778,129.049,1.560
6569,untitled3_green_thresh.tif:Green,1.910,27.279,15.145,10.967,26.333,14.271,1.771,1.802,1.808,1.345,51.712,1.954,0,2541,1506,42.192,1.551
6570,untitled3_green_thresh.tif:Green,1.916,18.650,27.688,13.919,17.917,26.698,1.615,2.062,1.835,1.329,91.688,2.065,0,1786,2761,87.109,1.538
6571,untitled3_green_thresh.tif:Green,1.931,7.079,20.665,8.629,6.240,19.823,1.698,1.802,1.605,1.532,72.081,1.884,0,602,2020,29.116,1.650
6572,untitled3_green_thresh.tif:Green,1.940,27.448,25.098,6.967,26.635,24.250,1.604,1.802,1.698,1.455,102.296,1.829,0,2613,2330,103.166,1.529
