 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Mean Diameter,,Bounding Box Area,,Bounding Box Area %,,Bins
395,Image 5.tif (green),490,3360.965,2581.029,136.326,3348,2565,29,38,32.724,19.065,100.831,39.56,255,100,3353,2566,110.726,28.207,,,,,,,
376,Image 5.tif (green),502,1385.394,2457.948,123.012,1369,2442,32,31,34.945,18.291,133.239,41.869,255,100,1369,2445,139.844,25.562,,,,,,,
27,Image 5.tif (green),544,3617.074,856.849,113.355,3600,840,34,30,26.664,25.976,77.529,34.525,255,100,3600,856,10.008,28.876,,,,,,,
124,Image 5.tif (green),544,3217.724,1355.469,178.711,3203,1325,43,56,46.117,15.019,112.302,58.83,255,100,3215,1325,121.799,29.241,,,,,,,
181,Image 5.tif (green),548,3251.608,1539.024,130.426,3230,1529,48,20,40.025,17.433,7.728,49.244,255,100,3230,1543,12.907,20,,,,,,,
137,Image 5.tif (green),572,3537.159,1399.404,216.953,3521,1374,38,70,49.048,14.849,61.404,76.557,255,100,3521,1444,66.114,27.982,,,,,,,
98,Image 5.tif (green),574,1676.277,1255.505,129.598,1664,1238,33,35,31.17,23.447,137.879,39.115,255,100,1665,1240,122.471,27.875,,,,,,,
104,Image 5.tif (green),587,2345.691,1293.582,191.64,2336,1262,24,60,49.92,14.972,89.226,60.133,255,100,2341,1262,93.814,22.498,,,,,,,
419,Image 5.tif (green),590,2230.317,2765.585,176.711,2203,2748,52,39,47.766,15.727,150.75,57.271,255,100,2203,2749,155.225,27.677,,,,,,,
6,Image 5.tif (green),601,3671.883,716.547,175.296,3646,684,45,52,48.114,15.904,44.144,66.219,255,100,3646,736,51.746,24.583,,,,,,,
308,Image 5.tif (green),610,2726.125,2164.307,185.154,2711,2147,39,44,37.421,20.755,73.369,54.452,255,100,2711,2191,44.256,34.095,,,,,,,
402,Image 5.tif (green),615,950.17,2639.103,148.669,928,2620,35,37,29.756,26.315,124.374,41.231,255,100,928,2629,140.906,33.986,,,,,,,
238,Image 5.tif (green),618,1290.994,1762.411,118.083,1274,1742,32,37,41.118,19.137,51.789,44.204,255,100,1275,1777,52.352,21.356,,,,,,,
