, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
95,96,hfd28 ep1 tip.tif  (red) thresh.tif,4673,4031.5029999999997,632.498,380.635,3991,589,84,85,85.074,69.937,136.531,95.0,255,100,3998,593,143.13,78.45100000000001,0.6545
96,97,hfd28 ep1 tip.tif  (red) thresh.tif,5470,3329.715,645.511,773.227,3280,595,101,100,89.713,77.632,11.078,110.635,255,100,3297,695,49.398999999999994,92.884,0.5416
97,98,hfd28 ep1 tip.tif  (red) thresh.tif,3936,2048.0660000000003,654.49,553.404,1998,600,92,108,89.955,55.711000000000006,60.141000000000005,108.374,255,100,2036,708,85.236,80.707,0.3961
98,99,hfd28 ep1 tip.tif  (red) thresh.tif,3821,3788.05,644.039,594.759,3746,600,85,94,85.354,56.998000000000005,61.422,108.227,255,100,3753,691,54.401,69.892,0.4782
99,100,hfd28 ep1 tip.tif  (red) thresh.tif,16188,3939.511,725.81,1898.9470000000001,3820,601,195,229,174.37400000000002,118.20100000000001,82.4,237.2,255,100,3825,797,53.227,182.265,0.3625
100,101,hfd28 ep1 tip.tif  (red) thresh.tif,5412,2893.68,654.569,611.1030000000001,2839,610,111,87,87.185,79.036,156.904,111.647,255,100,2839,650,173.83,84.83200000000001,0.5604
101,102,hfd28 ep1 tip.tif  (red) thresh.tif,7950,1882.01,655.22,808.541,1806,611,171,93,158.726,63.772,178.885,175.84099999999998,255,100,1810,627,160.741,91.279,0.4999
102,103,hfd28 ep1 tip.tif  (red) thresh.tif,4987,2322.856,666.682,546.617,2272,624,113,80,103.478,61.361999999999995,176.31599999999997,117.175,255,100,2272,650,158.471,79.329,0.5517
103,104,hfd28 ep1 tip.tif  (red) thresh.tif,3925,3540.388,680.3760000000001,500.475,3494,640,99,81,83.43700000000001,59.895,0.596,100.13,255,100,3494,680,171.38400000000001,77.941,0.4895
104,105,hfd28 ep1 tip.tif  (red) thresh.tif,4512,3857.656,699.8689999999999,632.115,3809,645,92,101,86.345,66.53399999999999,76.082,108.227,255,100,3824,738,58.218999999999994,85.01299999999999,0.4856
105,106,hfd28 ep1 tip.tif  (red) thresh.tif,4188,2804.2740000000003,705.293,482.09,2757,664,92,75,81.833,65.161,21.26,104.01899999999999,255,100,2759,732,37.972,74.745,0.607
106,107,hfd28 ep1 tip.tif  (red) thresh.tif,8167,2998.022,725.672,609.7719999999999,2942,668,109,116,107.3,96.911,139.273,119.775,255,100,2969,673,112.068,107.855,0.6459
107,108,hfd28 ep1 tip.tif  (red) thresh.tif,4112,3220.1409999999996,703.587,315.806,3179,668,89,76,94.677,55.299,32.339,99.045,255,100,3184,740,35.134,57.801,0.6079
108,109,hfd28 ep1 tip.tif  (red) thresh.tif,8829,2221.489,726.46,738.1560000000001,2147,669,134,116,110.243,101.969,65.125,134.015,255,100,2147,722,179.145,115.288,0.568
109,110,hfd28 ep1 tip.tif  (red) thresh.tif,7224,2078.4570000000003,749.203,699.328,2022,688,120,125,109.38799999999999,84.085,45.335,132.518,255,100,2049,813,70.608,90.819,0.4816
110,111,hfd28 ep1 tip.tif  (red) thresh.tif,16984,1864.4279999999999,784.671,2036.285,1775,697,188,205,170.27200000000002,127.001,59.665,230.53400000000002,255,100,1791,868,44.297,175.18,0.4407
111,112,hfd28 ep1 tip.tif  (red) thresh.tif,7173,2689.6609999999996,762.433,918.725,2635,697,108,126,113.059,80.78,66.59,136.88299999999998,255,100,2646,814,49.443999999999996,96.72399999999999,0.5271
112,113,hfd28 ep1 tip.tif  (red) thresh.tif,6233,3335.1609999999996,763.2239999999999,808.299,3274,703,125,141,100.565,78.915,159.47,157.003,255,100,3286,732,136.032,109.823,0.3536
113,114,hfd28 ep1 tip.tif  (red) thresh.tif,5577,3110.152,742.068,458.978,3056,704,115,70,110.884,64.039,4.61,116.456,255,100,3057,764,20.614,70.0,0.6928
114,115,hfd28 ep1 tip.tif  (red) thresh.tif,7000,3542.7690000000002,766.673,1092.7910000000002,3477,705,172,120,132.662,67.184,25.539,179.075,255,100,3481,805,20.256,95.98,0.3391
115,116,hfd28 ep1 tip.tif  (red) thresh.tif,9993,3737.5890000000004,778.283,1166.105,3665,709,141,153,136.296,93.352,40.625,166.58,255,100,3707,862,60.511,110.587,0.4632
116,117,hfd28 ep1 tip.tif  (red) thresh.tif,4440,2327.1279999999997,757.6469999999999,337.13699999999994,2283,723,89,78,88.97,63.54,12.535,96.876,255,100,2301,801,45.418,72.732,0.6396
117,118,hfd28 ep1 tip.tif  (red) thresh.tif,3561,4054.97,795.653,361.70599999999996,4022,743,58,100,89.359,50.739,81.783,104.695,255,100,4042,843,72.777,58.0,0.614
